Category,State/UT/City,Rural Area (Near School/College/Educational Institution) - Male,Rural Area (Near School/College/Educational Institution) - Female,Rural Area (Near School/College/Educational Institution) - Transgender,Rural Area (Near School/College/Educational Institution) - Total,Rural Area (Near Residential Area) - Male,Rural Area (Near Residential Area) - Female,Rural Area (Near Residential Area) - Transgender,Rural Area (Near Residential Area) - Total,Rural Area (Near Religious Place) - Male,Rural Area (Near Religious Place) - Female,Rural Area (Near Religious Place) - Transgender,Rural Area (Near Religious Place) - Total,Rural Area (Near Recreation Place/Cinema Hall) - Male,Rural Area (Near Recreation Place/Cinema Hall) - Female,Rural Area (Near Recreation Place/Cinema Hall) - Transgender,Rural Area (Near Recreation Place/Cinema Hall) - Total,Rural Area (Near Factory) - Male,Rural Area (Near Factory) - Female,Rural Area (Near Factory) - Transgender,Rural Area (Near Factory) - Total,Rural Area (Others) - Male,Rural Area (Others) - Female,Rural Area (Others) - Transgender,Rural Area (Others) - Total,Rural Area (Sub Total) - Male,Rural Area (Sub Total) - Female,Rural Area (Sub Total) - Transgender,Rural Area (Sub Total) - Total,Urban Area (Near School/College/Educational Institution) - Male,Urban Area (Near School/College/Educational Institution) - Female,Urban Area (Near School/College/Educational Institution) - Transgender,Urban Area (Near School/College/Educational Institution) - Total,Urban Area (Near Residential Area) - Male,Urban Area (Near Residential Area) - Female,Urban Area (Near Residential Area) - Transgender,Urban Area (Near Residential Area) - Total,Urban Area (Near Religious Place) - Male,Urban Area (Near Religious Place) - Female,Urban Area (Near Religious Place) - Transgender,Urban Area (Near Religious Place) - Total,Urban Area (Near Recreation Place/Cinema Hall) - Male,Urban Area (Near Recreation Place/Cinema Hall) - Female,Urban Area (Near Recreation Place/Cinema Hall) - Transgender,Urban Area (Near Recreation Place/Cinema Hall) - Total,Urban Area (Near Factory/Industrial Area) - Male,Urban Area (Near Factory/Industrial Area) - Female,Urban Area (Near Factory/Industrial Area) - Transgender,Urban Area (Near Factory/Industrial Area) - Total,Urban Area (At Pedestrian Crossing) - Male,Urban Area (At Pedestrian Crossing) - Female,Urban Area (At Pedestrian Crossing) - Transgender,Urban Area (At Pedestrian Crossing) - Total,Urban Area (Others) - Male,Urban Area (Others) - Female,Urban Area (Others) - Transgender,Urban Area (Others) - Total,Urban Area (Sub Total) - Male,Urban Area (Sub Total) - Female,Urban Area (Sub Total) - Transgender,Urban Area (Sub Total) - Total,Grand Total - Male,Grand Total - Female,Grand Total - Transgender,Grand Total - Total
State,Andhra Pradesh,377,66,0,443,971,176,0,1147,187,31,0,218,175,37,0,212,75,23,0,98,2590,386,0,2976,4375,719,0,5094,133,34,0,167,678,146,0,824,137,41,0,178,194,26,0,220,69,11,0,80,152,40,0,192,1047,182,0,1229,2410,480,0,2890,6785,1199,0,7984
State,Arunachal Pradesh,3,1,0,4,10,0,0,10,1,0,0,1,0,0,0,0,0,0,0,0,44,6,0,50,58,7,0,65,4,1,0,5,9,2,0,11,0,0,0,0,1,1,0,2,0,0,0,0,0,0,0,0,21,5,0,26,35,9,0,44,93,16,0,109
State,Assam,269,49,0,318,1003,165,0,1168,125,39,0,164,245,27,0,272,28,4,0,32,6,0,0,6,1676,284,0,1960,208,44,0,252,538,88,0,626,117,17,0,134,110,31,0,141,113,19,0,132,0,0,0,0,0,0,0,0,1086,199,0,1285,2762,483,0,3245
State,Bihar,452,117,0,569,2475,425,0,2900,199,55,0,254,132,21,0,153,62,11,0,73,117,25,0,142,3437,654,0,4091,278,67,0,345,1348,256,0,1604,139,38,0,177,369,49,0,418,218,63,0,281,128,40,0,168,107,14,0,121,2587,527,0,3114,6024,1181,0,7205
State,Chhattisgarh,118,18,0,136,1169,168,0,1337,38,4,0,42,13,1,0,14,33,2,0,35,1826,253,0,2079,3197,446,0,3643,38,4,0,42,447,79,0,526,37,4,0,41,12,1,0,13,57,12,0,69,20,3,0,23,566,80,0,646,1177,183,0,1360,4374,629,0,5003
State,Goa,7,1,0,8,112,23,0,135,11,4,0,15,9,2,0,11,1,1,0,2,55,8,0,63,195,39,0,234,3,1,0,4,16,3,0,19,3,0,0,3,4,1,0,5,8,1,0,9,2,2,0,4,19,2,0,21,55,10,0,65,250,49,0,299
State,Gujarat,228,41,0,269,1485,237,0,1722,169,26,0,195,45,14,0,59,271,29,0,300,2535,404,0,2939,4733,751,0,5484,180,33,0,213,394,98,0,492,94,20,0,114,47,8,0,55,264,49,0,313,74,20,1,95,552,110,0,662,1605,338,1,1944,6338,1089,1,7428
State,Haryana,197,44,0,241,665,90,0,755,101,21,0,122,50,6,0,56,230,51,0,281,1849,190,0,2039,3092,402,0,3494,96,20,0,116,184,51,0,235,58,6,0,64,49,12,0,61,200,26,0,226,184,39,0,223,729,121,0,850,1500,275,0,1775,4592,677,0,5269
State,Himachal Pradesh,57,11,0,68,485,78,0,563,62,6,0,68,25,2,0,27,49,11,0,60,13,3,0,16,691,111,0,802,44,5,0,49,131,24,0,155,38,3,0,41,16,3,0,19,23,5,0,28,20,4,0,24,6,0,0,6,278,44,0,322,969,155,0,1124
State,Jammu & Kashmir,24,4,0,28,213,31,0,244,15,1,0,16,5,0,0,5,17,3,0,20,343,82,0,425,617,121,0,738,11,3,0,14,61,16,0,77,10,1,0,11,0,0,0,0,6,3,0,9,4,1,0,5,120,35,0,155,212,59,0,271,829,180,0,1009
