Sl. No.,Category,State/UT/City,Rural Area (Near School/College/Educational Institution) - Male,Rural Area (Near School/College/Educational Institution) - Female,Rural Area (Near School/College/Educational Institution) - Transgender,Rural Area (Near School/College/Educational Institution) - Total,Rural Area (Near Residential Area) - Male,Rural Area (Near Residential Area) - Female,Rural Area (Near Residential Area) - Transgender,Rural Area (Near Residential Area) - Total,Rural Area (Near Religious Place) - Male,Rural Area (Near Religious Place) - Female,Rural Area (Near Religious Place) - Transgender,Rural Area (Near Religious Place) - Total,Rural Area (Near Recreation Place/Cinema Hall) - Male,Rural Area (Near Recreation Place/Cinema Hall) - Female,Rural Area (Near Recreation Place/Cinema Hall) - Transgender,Rural Area (Near Recreation Place/Cinema Hall) - Total,Rural Area (Near Factory) - Male,Rural Area (Near Factory) - Female,Rural Area (Near Factory) - Transgender,Rural Area (Near Factory) - Total,Rural Area (Others) - Male,Rural Area (Others) - Female,Rural Area (Others) - Transgender,Rural Area (Others) - Total,Rural Area (Sub Total) - Male,Rural Area (Sub Total) - Female,Rural Area (Sub Total) - Transgender,Rural Area (Sub Total) - Total,Urban Area (Near School/College/Educational Institution) - Male,Urban Area (Near School/College/Educational Institution) - Female,Urban Area (Near School/College/Educational Institution) - Transgender,Urban Area (Near School/College/Educational Institution) - Total,Urban Area (Near Residential Area) - Male,Urban Area (Near Residential Area) - Female,Urban Area (Near Residential Area) - Transgender,Urban Area (Near Residential Area) - Total,Urban Area (Near Religious Place) - Male,Urban Area (Near Religious Place) - Female,Urban Area (Near Religious Place) - Transgender,Urban Area (Near Religious Place) - Total,Urban Area (Near Recreation Place/Cinema Hall) - Male,Urban Area (Near Recreation Place/Cinema Hall) - Female,Urban Area (Near Recreation Place/Cinema Hall) - Transgender,Urban Area (Near Recreation Place/Cinema Hall) - Total,Urban Area (Near Factory/Industrial Area) - Male,Urban Area (Near Factory/Industrial Area) - Female,Urban Area (Near Factory/Industrial Area) - Transgender,Urban Area (Near Factory/Industrial Area) - Total,Urban Area (At Pedestrian Crossing) - Male,Urban Area (At Pedestrian Crossing) - Female,Urban Area (At Pedestrian Crossing) - Transgender,Urban Area (At Pedestrian Crossing) - Total,Urban Area (Others) - Male,Urban Area (Others) - Female,Urban Area (Others) - Transgender,Urban Area (Others) - Total,Urban Area (Sub Total) - Male,Urban Area (Sub Total) - Female,Urban Area (Sub Total) - Transgender,Urban Area (Sub Total) - Total,Grand Total - Male,Grand Total - Female,Grand Total - Transgender,Grand Total - Total
1,State,Andhra Pradesh,364,67,0,431,1412,243,0,1655,170,42,0,212,185,25,0,210,136,26,0,162,2444,355,0,2799,4711,758,0,5469,131,31,0,162,713,140,0,853,96,25,0,121,128,24,0,152,119,27,0,146,81,16,0,97,503,81,0,584,1771,344,0,2115,6482,1102,0,7584
2,State,Arunachal Pradesh,2,0,0,2,22,3,0,25,1,0,0,1,0,0,0,0,0,0,0,0,64,14,0,78,89,17,0,106,8,1,0,9,9,1,0,10,4,0,0,4,0,0,0,0,3,1,0,4,0,0,0,0,28,2,0,30,52,5,0,57,141,22,0,163
3,State,Assam,125,40,0,165,450,71,0,521,76,8,0,84,68,9,0,77,16,6,0,22,583,127,0,710,1318,261,0,1579,115,18,0,133,266,36,0,302,55,8,0,63,57,12,0,69,145,22,0,167,19,2,0,21,332,46,0,378,989,144,0,1133,2307,405,0,2712
4,State,Bihar,359,134,0,493,1970,368,0,2338,103,41,0,144,48,9,0,57,17,8,0,25,617,55,0,672,3114,615,0,3729,152,37,0,189,1579,261,0,1840,76,17,0,93,231,36,0,267,60,24,0,84,67,10,0,77,388,62,0,450,2553,447,0,3000,5667,1062,0,6729
5,State,Chhattisgarh,156,20,0,176,730,123,0,853,58,9,0,67,36,4,0,40,21,3,0,24,1435,193,0,1628,2436,352,0,2788,111,15,0,126,503,79,0,582,83,14,0,97,36,4,0,40,55,8,0,63,88,12,0,100,713,84,0,797,1589,216,0,1805,4025,568,0,4593
6,State,Goa,4,2,0,6,94,17,0,111,16,4,0,20,6,2,0,8,5,0,0,5,45,11,0,56,170,36,0,206,4,0,0,4,23,0,0,23,7,4,0,11,0,0,0,0,4,1,0,5,0,0,0,0,13,2,0,15,51,7,0,58,221,43,0,264
7,State,Gujarat,328,64,0,392,1490,288,1,1779,300,58,0,358,118,36,0,154,469,80,0,549,2053,299,0,2352,4758,825,1,5584,196,24,0,220,846,174,0,1020,150,14,0,164,113,19,0,132,291,27,0,318,113,16,0,129,399,74,0,473,2108,348,0,2456,6866,1173,1,8040
8,State,Haryana,154,28,0,182,1116,82,0,1198,90,14,0,104,63,8,0,71,244,37,0,281,1686,113,0,1799,3353,282,0,3635,92,12,0,104,323,35,0,358,41,10,0,51,58,7,0,65,295,28,0,323,262,44,0,306,486,101,0,587,1557,237,0,1794,4910,519,0,5429
9,State,Himachal Pradesh,48,11,0,59,365,89,0,454,44,12,0,56,14,1,0,15,57,9,0,66,74,12,0,86,602,134,0,736,27,5,0,32,162,33,0,195,28,4,0,32,20,5,0,25,19,3,0,22,7,2,0,9,22,4,0,26,285,56,0,341,887,190,0,1077
10,State,Jammu & Kashmir,14,2,0,16,210,33,0,243,19,2,0,21,3,1,0,4,36,8,0,44,289,59,0,348,571,105,0,676,13,1,0,14,64,10,0,74,18,1,0,19,4,1,0,5,31,1,0,32,2,2,0,4,139,23,0,162,271,39,0,310,842,144,0,986
