Sl. No.,Category,State/UT/City,Rural Area (Near School/College/Educational Institution) - Male,Rural Area (Near School/College/Educational Institution) - Female,Rural Area (Near School/College/Educational Institution) - Transgender,Rural Area (Near School/College/Educational Institution) - Total,Rural Area (Near Residential Area) - Male,Rural Area (Near Residential Area) - Female,Rural Area (Near Residential Area) - Transgender,Rural Area (Near Residential Area) - Total,Rural Area (Near Religious Place) - Male,Rural Area (Near Religious Place) - Female,Rural Area (Near Religious Place) - Transgender,Rural Area (Near Religious Place) - Total,Rural Area (Near Recreation Place/Cinema Hall) - Male,Rural Area (Near Recreation Place/Cinema Hall) - Female,Rural Area (Near Recreation Place/Cinema Hall) - Transgender,Rural Area (Near Recreation Place/Cinema Hall) - Total,Rural Area (Near Factory) - Male,Rural Area (Near Factory) - Female,Rural Area (Near Factory) - Transgender,Rural Area (Near Factory) - Total,Rural Area (Others) - Male,Rural Area (Others) - Female,Rural Area (Others) - Transgender,Rural Area (Others) - Total,Rural Area (Sub Total) - Male,Rural Area (Sub Total) - Female,Rural Area (Sub Total) - Transgender,Rural Area (Sub Total) - Total,Urban Area (Near School/College/Educational Institution) - Male,Urban Area (Near School/College/Educational Institution) - Female,Urban Area (Near School/College/Educational Institution) - Transgender,Urban Area (Near School/College/Educational Institution) - Total,Urban Area (Near Residential Area) - Male,Urban Area (Near Residential Area) - Female,Urban Area (Near Residential Area) - Transgender,Urban Area (Near Residential Area) - Total,Urban Area (Near Religious Place) - Male,Urban Area (Near Religious Place) - Female,Urban Area (Near Religious Place) - Transgender,Urban Area (Near Religious Place) - Total,Urban Area (Near Recreation Place/Cinema Hall) - Male,Urban Area (Near Recreation Place/Cinema Hall) - Female,Urban Area (Near Recreation Place/Cinema Hall) - Transgender,Urban Area (Near Recreation Place/Cinema Hall) - Total,Urban Area (Near Factory/Industrial Area) - Male,Urban Area (Near Factory/Industrial Area) - Female,Urban Area (Near Factory/Industrial Area) - Transgender,Urban Area (Near Factory/Industrial Area) - Total,Urban Area (At Pedestrian Crossing) - Male,Urban Area (At Pedestrian Crossing) - Female,Urban Area (At Pedestrian Crossing) - Transgender,Urban Area (At Pedestrian Crossing) - Total,Urban Area (Others) - Male,Urban Area (Others) - Female,Urban Area (Others) - Transgender,Urban Area (Others) - Total,Urban Area (Sub Total) - Male,Urban Area (Sub Total) - Female,Urban Area (Sub Total) - Transgender,Urban Area (Sub Total) - Total,Grand Total - Male,Grand Total - Female,Grand Total - Transgender,Grand Total - Total
1,State,Andhra Pradesh,602,102,0,704,1549,246,0,1795,127,27,0,154,150,38,0,188,110,25,0,135,2614,424,0,3038,5152,862,0,6014,122,22,0,144,592,111,0,703,72,12,0,84,85,17,0,102,135,21,0,156,147,33,0,180,614,63,0,677,1767,279,0,2046,6919,1141,0,8060
2,State,Arunachal Pradesh,2,2,0,4,13,3,0,16,0,1,0,1,0,0,0,0,0,0,0,0,25,6,0,31,40,12,0,52,0,0,0,0,7,1,0,8,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,9,1,0,10,18,2,0,20,58,14,0,72
3,State,Assam,105,14,0,119,377,37,0,414,103,2,0,105,25,0,0,25,28,0,0,28,659,87,0,746,1297,140,0,1437,132,29,0,161,300,28,0,328,128,17,0,145,104,14,0,118,107,18,0,125,13,1,0,14,238,31,0,269,1022,138,0,1160,2319,278,0,2597
4,State,Bihar,586,93,0,679,1331,360,0,1691,96,26,0,122,35,24,0,59,17,8,0,25,365,59,0,424,2430,570,0,3000,277,70,0,347,1216,214,0,1430,42,28,0,70,129,26,0,155,129,5,0,134,62,11,0,73,260,85,0,345,2115,439,0,2554,4545,1009,0,5554
5,State,Chhattisgarh,83,14,0,97,585,111,0,696,44,10,0,54,16,5,0,21,36,6,0,42,1479,179,0,1658,2243,325,0,2568,64,9,0,73,434,83,0,517,49,7,0,56,76,11,0,87,72,7,0,79,36,15,0,51,632,73,0,705,1363,205,0,1568,3606,530,0,4136
6,State,Goa,6,1,0,7,120,7,0,127,17,4,0,21,8,0,0,8,13,0,0,13,77,14,0,91,241,26,0,267,8,0,0,8,19,6,0,25,2,0,0,2,0,0,0,0,5,0,0,5,1,0,0,1,20,6,0,26,55,12,0,67,296,38,0,334
7,State,Gujarat,340,56,0,396,1559,256,1,1816,211,44,0,255,118,36,0,154,416,81,0,497,2068,316,0,2384,4712,789,1,5502,158,30,0,188,799,159,0,958,84,25,0,109,75,15,0,90,195,30,0,225,37,12,0,49,460,82,0,542,1808,353,0,2161,6520,1142,1,7663
8,State,Haryana,158,24,0,182,954,107,0,1061,91,19,0,110,61,10,0,71,286,45,0,331,1634,185,0,1819,3184,390,0,3574,87,15,0,102,320,42,0,362,50,6,0,56,47,5,0,52,288,19,0,307,244,52,0,296,652,68,0,720,1688,207,0,1895,4872,597,0,5469
9,State,Himachal Pradesh,165,29,0,194,342,56,0,398,43,8,0,51,17,2,0,19,51,8,0,59,86,10,0,96,704,113,0,817,36,7,0,43,166,24,0,190,21,4,0,25,8,2,0,10,28,7,0,35,18,2,0,20,31,9,0,40,308,55,0,363,1012,168,0,1180
10,State,Jammu & Kashmir,23,7,0,30,220,50,0,270,12,3,0,15,2,0,0,2,8,2,0,10,222,31,0,253,487,93,0,580,13,5,0,18,34,10,0,44,3,1,0,4,5,0,0,5,13,2,0,15,11,1,0,12,160,38,0,198,239,57,0,296,726,150,0,876
