Time Of Occurance,Accident Count,Year
0000 hrs to 0300 hrs. (Night),23685,2019
0300 hrs to 0600 hrs. (Night),26869,2019
0600 hrs to 0900 hrs. (Day),48517,2019
0900 hrs to 1200 hrs. (Day),64832,2019
1200 hrs to 1500 hrs. (Day),66720,2019
1500 hrs to 1800 hrs. (Day),75963,2019
1800 hrs to 2100 hrs. (Night),83097,2019
2100 hrs to 2400 hrs. (Night),47713,2019
0000 hrs to 0300 hrs. (Night),23759,2018
0300 hrs to 0600 hrs. (Night),26837,2018
0600 hrs to 0900 hrs. (Day),48364,2018
0900 hrs to 1200 hrs. (Day),65077,2018
1200 hrs to 1500 hrs. (Day),66834,2018
1500 hrs to 1800 hrs. (Day),75987,2018
1800 hrs to 2100 hrs. (Night),83398,2018
2100 hrs to 2400 hrs. (Night),46419,2018
0000 hrs to 0300 hrs. (Night),23784,2017
0300 hrs to 0600 hrs. (Night),28781,2017
0600 hrs to 0900 hrs. (Day),52614,2017
0900 hrs to 1200 hrs. (Day),67544,2017
1200 hrs to 1500 hrs. (Day),69156,2017
1500 hrs to 1800 hrs. (Day),78079,2017
1800 hrs to 2100 hrs. (Night),80567,2017
2100 hrs to 2400 hrs. (Night),45205,2017
